Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
2020-12-16 - Plate scFv2,Experiment,Group,,A1,Experiment,None,,R1,FSC-A,SSC-A,3658,100,36.580,91.473,91.473,615466,18942,547485,15874,508228,14248,202599.40,9409.56,32.92,49.67,133238.29,8031.24,24.34,50.59
2020-12-16 - Plate scFv2,Experiment,Group,,A1,Experiment,None,,R1,BL1-A,,3658,100,36.580,91.473,91.473,642,N/A,144,N/A,-20,N/A,2511.27,N/A,390.95,N/A,106.75,N/A,74.13,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,A2,Experiment,None,,R1,FSC-A,SSC-A,3923,100,39.230,92.306,92.306,617553,18722,550663,15760,529846,12438,196487.05,9125.44,31.82,48.74,122261.12,7318.11,22.20,46.43
2020-12-16 - Plate scFv2,Experiment,Group,,A2,Experiment,None,,R1,BL1-A,,3923,100,39.230,92.306,92.306,681,N/A,158,N/A,-19,N/A,2822.26,N/A,414.21,N/A,102.30,N/A,64.75,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,A3,Experiment,None,,R1,FSC-A,SSC-A,4452,100,44.520,92.423,92.423,634560,18969,561734,15757,501887,11472,199444.80,9490.95,31.43,50.03,134918.08,7505.66,24.02,47.64
2020-12-16 - Plate scFv2,Experiment,Group,,A3,Experiment,None,,R1,BL1-A,,4452,100,44.520,92.423,92.423,434,N/A,142,N/A,-22,N/A,2671.65,N/A,614.96,N/A,100.82,N/A,71.00,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,A4,Experiment,None,,R1,FSC-A,SSC-A,5095,100,50.950,94.879,94.879,604636,17895,546032,15028,522155,14064,189961.53,8722.49,31.42,48.74,112424.07,6516.03,20.59,43.36
2020-12-16 - Plate scFv2,Experiment,Group,,A4,Experiment,None,,R1,BL1-A,,5095,100,50.950,94.879,94.879,583,N/A,142,N/A,-17,N/A,2518.55,N/A,431.97,N/A,99.33,N/A,69.95,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,A5,Experiment,None,,R1,FSC-A,SSC-A,4395,100,43.950,92.702,92.702,621565,19205,562810,16288,495138,13499,202653.70,9234.91,32.60,48.09,141702.46,7642.80,25.18,46.92
2020-12-16 - Plate scFv2,Experiment,Group,,A5,Experiment,None,,R1,BL1-A,,4395,100,43.950,92.702,92.702,642,N/A,153,N/A,-20,N/A,2514.53,N/A,391.49,N/A,105.26,N/A,68.80,N/A
